filename,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
040192.png,4.4817493466409175e-11,1.0,8.720018596086732e-10,4.09954132862822e-08,5.567444769094543e-11,6.259936458086202e-10,1.4967936889931366e-09,3.786985447451485e-10,1.635831747837102e-11,8.094266923386328e-11
000373.png,7.581529848366131e-11,1.0,2.2145904554626838e-10,6.323880086256395e-09,6.615401976217683e-11,1.2557922757228113e-10,2.2736641736020857e-10,1.2546831629212107e-11,5.830090750447159e-12,1.5774426903591987e-11
087133.png,1.4076275735297461e-11,1.0,1.2536175431065999e-09,2.746852878487971e-08,8.083946012593657e-11,1.5281883536388818e-09,1.2906835600290378e-09,2.7942528291191593e-08,5.539460209980085e-11,4.4522635578303493e-10
024836.png,2.527680287300882e-10,1.0,2.352748884604239e-09,3.283234661921597e-08,5.94248539265152e-11,1.069638821959984e-09,6.65735355731556e-10,2.3581972485864355e-10,1.819973165229083e-11,9.417135821143674e-11
004648.png,4.414467902336128e-09,1.0,1.6205087050025213e-08,3.527573610995205e-08,4.746656401266591e-10,7.892142939169844e-09,3.822867356007009e-09,8.010292429361243e-10,1.024988843800756e-10,3.756332467297341e-10
092587.png,3.125948501783715e-12,1.0,3.7573069655572056e-10,4.708983425416591e-09,3.520007202384434e-11,2.927550424303149e-10,8.953320029814194e-11,6.230653493144445e-11,1.779434130426416e-12,1.6935985600041725e-11
033494.png,3.0187757849020613e-10,1.0,7.689066050531324e-10,5.046726414548175e-08,6.427418319798761e-11,6.269642138789777e-09,4.728817892818427e-10,1.1758489737445643e-09,8.297494635822744e-11,1.6460953433661274e-10
084064.png,2.679670096927822e-10,1.0,3.5650768448469705e-10,2.5729935515528268e-08,1.9036302048580644e-11,1.4366108302965586e-09,9.397546074652041e-10,6.46728573472366e-11,8.790447536544121e-12,2.876246636696056e-11
066113.png,1.6716794913390273e-14,1.0,1.6740303587781113e-11,7.558766945692241e-09,1.3567154127577807e-12,1.0461473267525667e-12,1.489453178848965e-11,4.906299433567185e-13,6.158407253121015e-14,1.140579059151492e-12
027600.png,2.416266908777942e-10,1.0,7.208427743599088e-10,1.1350668849274825e-08,2.5598904940249412e-11,3.0540880935348014e-09,5.57838553127965e-10,1.981432351527701e-09,1.0702912861537683e-10,7.939451873717474e-11
015670.png,1.6334068819734426e-10,1.0,2.20871121392463e-09,2.8684333130968298e-08,5.2448552445572005e-11,7.266516277582014e-10,4.471200742983683e-09,5.820863235861395e-10,4.338676987125645e-11,1.1467535254716665e-10
069018.png,3.0165501208045953e-09,1.0,2.0580805115688605e-10,2.573209556544498e-08,3.003932519396457e-11,4.97084196027231e-09,3.833233452876783e-10,1.025280207955781e-10,6.902600713232232e-11,3.8902481930280786e-11
064536.png,4.828350913532731e-11,1.0,9.885487983751773e-10,5.098683075743793e-08,9.154599300842392e-11,3.544228244223291e-10,1.4813403836910766e-09,1.9833711062400283e-10,1.4626629768477173e-11,1.1803379107444556e-10
047770.png,1.9346549102322586e-12,1.0,6.357084858521489e-10,4.66704719315203e-09,1.204052916398135e-12,2.1204959663179146e-11,3.844480012116236e-10,6.578867225298657e-13,1.1428525226869768e-12,3.031692084876081e-12
092593.png,1.893913324779728e-11,1.0,5.020652296683359e-11,2.653175812383779e-08,4.154063811684372e-12,2.4878088478175187e-10,8.085272035218694e-11,1.3032190777917396e-11,1.9963642284431815e-12,5.908835920553912e-12
094010.png,2.3602479345963268e-11,1.0,3.3911956576204716e-10,6.6228960093894784e-09,9.50989027109772e-12,1.0801541883154187e-09,1.1094340723882823e-10,1.208785294082304e-10,5.049758788205905e-12,1.5696572513990148e-11
079219.png,1.2851752995146626e-10,1.0,8.600348211373898e-10,2.2333884075464994e-08,9.567454467562797e-12,1.092361534560382e-09,1.3474831028759127e-08,2.7991241269287315e-11,1.946269881369922e-11,3.6327833102811624e-11
058065.png,1.5156235641522464e-11,1.0,3.044119845085902e-09,2.607785809516372e-08,6.92547130753951e-10,1.6397913027432764e-09,1.483065759089186e-08,5.98558702602503e-11,2.3663331710777058e-11,1.786271131010153e-10
009529.png,1.7897282614254273e-11,1.0,3.2064861876790474e-09,3.109880353235894e-08,1.8397361412070268e-09,9.547744816984505e-09,2.660106579455146e-09,1.5705392542031404e-09,4.6912463497195134e-11,1.803291405089169e-10
037387.png,1.7145243558225332e-10,1.0,6.193904944495898e-09,5.423732574172391e-08,1.374147462485098e-10,2.7636153365762084e-09,2.838618584632968e-08,2.1708328190594983e-10,5.618661091943977e-11,1.9674184503770675e-10
081546.png,6.348769426844925e-11,1.0,1.2285851225257716e-09,1.6978381367493967e-08,9.075447615636278e-10,3.0035061104882743e-09,2.7935211921459313e-09,1.2160191742438542e-09,4.8273933461739915e-11,4.2295736357722546e-10
062228.png,1.893178502854198e-09,1.0,3.2815052897205987e-09,4.237750061975021e-08,6.539631058899431e-10,2.438733215370803e-09,6.115989936716915e-09,2.2772793373260214e-10,1.0725003524170162e-10,2.1680769679566225e-10
076036.png,4.110194851136839e-09,1.0,2.640220930771875e-09,5.316931250831658e-08,1.5001598574482244e-10,1.5889765059284855e-09,2.291130840603728e-09,4.939650355417768e-10,8.29901355969831e-11,4.4990955405666e-10
015414.png,5.675084534251251e-12,1.0,1.3724947567350654e-10,5.398042013382565e-09,1.7769093141328796e-10,1.5622746152299527e-10,1.8238383026059068e-10,6.301634214445073e-11,2.7562518239987455e-12,1.8573032001256706e-11
083354.png,1.2404795940446078e-11,1.0,3.0160768327291976e-10,4.8244366723793064e-08,9.932316080707437e-11,5.6212932086907585e-09,2.387712472184944e-09,1.5131458586115087e-10,1.0660326787981234e-11,5.063147817674363e-11
058842.png,1.382715296427417e-11,1.0,4.649045037830035e-10,1.3324401137992936e-08,3.680446225562406e-11,3.9964298537142895e-10,1.0865079946853484e-09,3.803526105183863e-10,1.2313262388874424e-11,4.160504926686848e-11
043926.png,7.929104595127967e-10,1.0,1.3357676076353187e-09,2.996297965296435e-08,4.5952124050341325e-11,2.367486873211533e-09,2.47919498264082e-08,2.190514714062175e-10,7.752044145492576e-11,1.1091251528316803e-10
061704.png,6.06035794464832e-12,1.0,5.0302470522289866e-11,4.053231528189372e-09,1.3517535615154008e-12,2.118329123224072e-11,1.0897160951373053e-10,3.978697146050925e-12,7.86189798158976e-13,3.251216136590518e-12
099444.png,7.968347336129167e-12,1.0,4.9430404214234613e-11,4.745092763158709e-09,6.043931414373427e-12,9.768039849200605e-11,6.220809284362971e-11,2.292746027754422e-11,4.306816188404117e-12,1.0107732359432298e-11
085426.png,5.476046727181938e-09,1.0,8.292747738503081e-11,2.8732136669873398e-08,1.0604901505562037e-11,1.7776253802281872e-09,1.8453909511606525e-09,3.26958772556285e-11,2.8360220422074534e-11,2.4175149729299683e-11
